Country,ISO2,ISO3,Indicator,Series,Variable,Model,Scenarios,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
Nepal,NP,NPL,Transition Pathways,Primary energy,Biomass,GCAM,Low Demand,EJ/yr,,,,,0.4976,0.4713,0.4388,0.3593,0.2289,0.1179,0.0736
Nepal,NP,NPL,Transition Pathways,Primary energy,Biomass,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,,,,,0.5057,0.4942,0.4403,0.4191,0.3999,0.3585,0.3275
Nepal,NP,NPL,Transition Pathways,Primary energy,Biomass,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,0.4957,0.457,0.3719,0.2695,0.1496,0.0645,0.0347
Nepal,NP,NPL,Transition Pathways,Primary energy,Biomass,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,,,,,0.4195,0.417,0.4147,0.4134,0.4192,0.3901,0.4144
Nepal,NP,NPL,Transition Pathways,Primary energy,Biomass,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,,,,,0.4199,0.4204,0.4237,0.4107,0.3948,0.3384,0.2903
Nepal,NP,NPL,Transition Pathways,Primary energy,Biomass,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.4202,0.4206,0.4238,0.4124,0.4046,0.3761,0.3793
Nepal,NP,NPL,Transition Pathways,Primary energy,Biomass,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,,,,,0.4197,0.4192,0.4217,0.411,0.3942,0.3621,0.3435
Nepal,NP,NPL,Transition Pathways,Primary energy,Biomass,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,,,,,0.4245,0.4291,0.4843,0.9211,0.9299,0.8252,0.6508
Nepal,NP,NPL,Transition Pathways,Primary energy,Biomass,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,,,,,0.4204,0.4169,0.4119,0.3934,0.3791,0.3245,0.3012
Nepal,NP,NPL,Transition Pathways,Primary energy,Biomass,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,0.4191,0.4166,0.4063,0.4162,0.4345,0.5643,0.7199
Nepal,NP,NPL,Transition Pathways,Primary energy,Biomass,REMIND-MAgPIE,Below 2°C,EJ/yr,,,,,0.3222,0.2167,0.0409,0.0376,0.067,0.1188,0.1414
Nepal,NP,NPL,Transition Pathways,Primary energy,Biomass,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,,,,,0.3538,0.3452,0.3097,0.2378,0.018,0.0177,0.0167
Nepal,NP,NPL,Transition Pathways,Primary energy,Biomass,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.3251,0.3473,0.3023,0.0222,0.0805,0.1155,0.1405
Nepal,NP,NPL,Transition Pathways,Primary energy,Biomass,REMIND-MAgPIE,Fragmented World,EJ/yr,,,,,0.3542,0.3358,0.2961,0.2845,0.033,0.0147,0.0152
Nepal,NP,NPL,Transition Pathways,Primary energy,Biomass,REMIND-MAgPIE,Low Demand,EJ/yr,,,,,0.3821,0.2904,0.2497,0.1831,0.1569,0.1325,0.1418
Nepal,NP,NPL,Transition Pathways,Primary energy,Biomass,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,,,,,0.3457,0.3423,0.2676,0.1282,0.0309,0.0299,0.0353
Nepal,NP,NPL,Transition Pathways,Primary energy,Biomass,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,0.3668,0.2891,0.2291,0.196,0.17,0.1754,0.2141
Nepal,NP,NPL,Transition Pathways,Primary energy,Coal,GCAM,Below 2°C,EJ/yr,,,,,0.0585,0.0753,0.074,0.0537,0.0341,0.0246,0.0245
Nepal,NP,NPL,Transition Pathways,Primary energy,Coal,GCAM,Current Policies (Hot house world scenario),EJ/yr,,,,,0.0622,0.076,0.0792,0.107,0.1483,0.1846,0.2376
Nepal,NP,NPL,Transition Pathways,Primary energy,Coal,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.0631,0.0776,0.0813,0.0809,0.0642,0.0511,0.0477
Nepal,NP,NPL,Transition Pathways,Primary energy,Coal,GCAM,Fragmented World,EJ/yr,,,,,0.0669,0.0764,0.0772,0.1069,0.1557,0.1862,0.2325
Nepal,NP,NPL,Transition Pathways,Primary energy,Coal,GCAM,Low Demand,EJ/yr,,,,,0.0576,0.0772,0.0656,0.039,0.0254,0.0162,0.011
Nepal,NP,NPL,Transition Pathways,Primary energy,Coal,GCAM,Nationally Determined Contributions (NDCs),EJ/yr,,,,,0.0625,0.0754,0.0892,0.0945,0.095,0.088,0.0873
Nepal,NP,NPL,Transition Pathways,Primary energy,Coal,GCAM,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,0.055,0.0672,0.0705,0.0457,0.0332,0.0198,0.0144
Nepal,NP,NPL,Transition Pathways,Primary energy,Coal,MESSAGEix-GLOBIOM,Below 2°C,EJ/yr,,,,,0.085,0.1095,0.1107,0.1068,0.0742,0.0647,0.0722
Nepal,NP,NPL,Transition Pathways,Primary energy,Coal,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),EJ/yr,,,,,0.0828,0.1074,0.1225,0.1314,0.1349,0.1353,0.1802
Nepal,NP,NPL,Transition Pathways,Primary energy,Coal,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.0825,0.1068,0.1215,0.127,0.1135,0.1002,0.1093
Nepal,NP,NPL,Transition Pathways,Primary energy,Coal,MESSAGEix-GLOBIOM,Fragmented World,EJ/yr,,,,,0.0834,0.1075,0.1218,0.1206,0.1015,0.0835,0.1037
Nepal,NP,NPL,Transition Pathways,Primary energy,Coal,MESSAGEix-GLOBIOM,Low Demand,EJ/yr,,,,,0.0774,0.0971,0.4681,0.354,0.2608,0.2127,0.17
Nepal,NP,NPL,Transition Pathways,Primary energy,Coal,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),EJ/yr,,,,,0.0834,0.1087,0.1261,0.1355,0.1401,0.14,0.1679
Nepal,NP,NPL,Transition Pathways,Primary energy,Coal,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,0.085,0.1098,0.0987,0.1071,0.0868,0.0808,0.084
Nepal,NP,NPL,Transition Pathways,Primary energy,Coal,REMIND-MAgPIE,Below 2°C,EJ/yr,,,,,0.2191,0.2958,0.4914,0.3373,0.1774,0.0716,0.0537
Nepal,NP,NPL,Transition Pathways,Primary energy,Coal,REMIND-MAgPIE,Current Policies (Hot house world scenario),EJ/yr,,,,,0.1354,0.0884,0.1176,0.2419,0.8054,1.0586,1.0706
Nepal,NP,NPL,Transition Pathways,Primary energy,Coal,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.2036,0.0891,0.1334,0.7849,0.2256,0.0624,0.0574
Nepal,NP,NPL,Transition Pathways,Primary energy,Coal,REMIND-MAgPIE,Fragmented World,EJ/yr,,,,,0.1285,0.0832,0.1161,0.1534,0.5337,0.8124,0.8808
Nepal,NP,NPL,Transition Pathways,Primary energy,Coal,REMIND-MAgPIE,Low Demand,EJ/yr,,,,,0.1223,0.2026,0.0744,0.0233,0.0295,0.0259,0.0274
Nepal,NP,NPL,Transition Pathways,Primary energy,Coal,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),EJ/yr,,,,,0.1571,0.0837,0.1308,0.2568,0.3493,0.357,0.4067
Nepal,NP,NPL,Transition Pathways,Primary energy,Coal,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),EJ/yr,,,,,0.1063,0.1549,0.0545,0.0249,0.0317,0.0302,0.03
Nepal,NP,NPL,Transition Pathways,Final energy,Electricity,GCAM,Below 2°C,EJ/yr,,,,,0.0187,0.0385,0.0659,0.1125,0.1917,0.2856,0.3651
Nepal,NP,NPL,Transition Pathways,Final energy,Electricity,GCAM,Current Policies (Hot house world scenario),EJ/yr,,,,,0.0188,0.0379,0.0644,0.1052,0.1728,0.2589,0.2965
Nepal,NP,NPL,Transition Pathways,Final energy,Electricity,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.0188,0.038,0.065,0.1118,0.1881,0.2862,0.3646
Nepal,NP,NPL,Transition Pathways,Final energy,Electricity,GCAM,Fragmented World,EJ/yr,,,,,0.0208,0.0433,0.0745,0.1208,0.1886,0.271,0.3116
